Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1986,B,5/15/1986,9/23/1986,2041,2.88,0.12,NaN,0
1986,P1,5/15/1986,11/5/1986,1864,2.75,-0.28,NaN,0
1986,J,5/16/1986,11/5/1986,1683,1.19,-4.91,NaN,0
1986,I,5/16/1986,11/5/1986,1651,1.4,-5.31,NaN,0
1987,A,5/6/1987,11/10/1987,2063,2.04,-0.89,NaN,0
1987,C,5/6/1987,11/10/1987,1961,2.16,-1.13,NaN,0
1987,P1,5/6/1987,11/10/1987,1861,2.1,-2.35,NaN,0
1987,F,5/6/1987,11/10/1987,1731,1.86,-3.56,NaN,0
1987,J,5/6/1987,11/10/1987,1669,1.34,-5.04,NaN,0
1987,I,5/6/1987,11/10/1987,1646,1.58,-5.31,NaN,0
1988,P1,5/19/1988,10/27/1988,1853,2.1,-1.3,NaN,0
1989,A,5/3/1989,10/9/1989,2071,2.49,-0.2,NaN,0
1989,P1,5/3/1989,10/9/1989,1861,2.7,-0.35,NaN,0
1989,K,5/4/1989,10/9/1989,1741,2.35,-2.43,NaN,0
1989,J,5/4/1989,10/9/1989,1661,0.91,-5.99,NaN,0
1989,C,5/3/1989,10/9/1989,1966,2.7,NaN,NaN,NaN
1990,B,5/1/1990,10/3/1990,2052,3.17,0.92,NaN,0
1990,P1,5/1/1990,10/3/1990,1846,2.79,-0.36,NaN,0
1990,K,5/1/1990,7/19/1990,1751,1.82,0.38,NaN,0
1990,J,5/1/1990,7/19/1990,1661,0.59,-2.64,NaN,0
1990,C,5/1/1990,10/16/1991,1959,2.83,NaN,NaN,NaN
1991,A,5/1/1991,10/16/1991,2057,3.93,0.61,0,0
1991,P1,5/1/1991,10/16/1991,1851,3.83,0.3,0,NaN
1991,K,5/1/1991,10/21/1991,1746,3.56,-0.9,0,NaN
1991,J,5/1/1991,10/21/1991,1652,1.42,-5.24,0,NaN
1992,B,4/15/1992,10/10/1992,2046,2.3,-0.31,NaN,0
1992,P1,4/15/1992,10/10/1992,1853,2.03,-2.29,NaN,0
1992,K,4/15/1992,10/10/1992,1762,1.08,-4.5,NaN,0
1992,L,4/15/1992,10/10/1992,1686,0.59,-6.02,-0.15,0
1992,C,4/15/1992,10/10/1992,1962,2.16,NaN,NaN,NaN
1993,B,5/5/1993,10/12/1993,2046,2.23,0.09,NaN,0
1993,C,5/5/1993,10/12/1993,1946,1.85,NaN,NaN,NaN
1993,P1,5/5/1993,8/18/1993,1845,2.12,-1.16,NaN,0
1993,K,5/5/1993,10/12/1993,1736,2.35,-2.15,NaN,0
1993,L,5/5/1993,10/12/1993,1652,0.54,-6.46,NaN,0
1994,A,6/2/1994,10/25/1994,2057,2.42,-1.02,0,0.33
1994,P1,5/3/1994,10/25/1994,1835,2.28,-1.76,0,0.33
1994,F,5/3/1994,10/25/1994,1725,1.65,-3.94,0,0.25
1994,L,5/3/1994,10/25/1994,1656,1.5,-5.12,0,0.15
1994,C,5/4/1994,10/25/1994,1952,2.58,NaN,NaN,NaN
1995,B,5/15/1995,11/15/1995,2038,3.08,0.11,0,NaN
1995,P1,5/15/1995,11/15/1995,1845,2.86,-0.81,0,NaN
1995,E,5/15/1995,11/15/1995,1750,2.31,-3.29,0,NaN
1995,L,5/16/1995,11/15/1995,1654,1.08,-5.29,0,NaN
1995,C,5/15/1995,11/15/1995,1943,3.43,NaN,NaN,NaN
1996,A,5/24/1996,10/9/1996,2069,3.3,0.79,0,0
1996,P1,5/24/1996,10/9/1996,1843,2.95,0,0,0
1996,E,5/24/1996,10/30/1996,1742,2.02,-2.63,0,0.5
1996,L,5/24/1996,10/30/1996,1637,0.86,-5.59,NaN,0.5
1996,G,5/24/1996,10/30/1996,1680,2.24,-3.3,NaN,0.5
1996,B,5/24/1996,10/30/1996,2025,NaN,1.61,NaN,NaN
1997,P1,5/9/1997,11/4/1997,1837,3.34,-0.09,0,0.5
1997,E,5/9/1997,11/4/1997,1729,2.68,-1.67,0,0.28
1997,L,5/9/1997,11/4/1997,1639,2.04,-4.37,0,0.1
1997,G,5/9/1997,11/4/1997,1682,2.35,-3.75,0,0.19
1997,A,5/9/1997,11/4/1997,2069,NaN,NaN,NaN,NaN
1997,B,5/9/1997,11/4/1997,2035,NaN,NaN,NaN,NaN
1997,C,5/9/1997,11/4/1997,1977,NaN,NaN,NaN,NaN
1998,P1,5/5/1998,10/19/1998,1843,2.39,-2.47,0,0.14
1998,E,5/6/1998,10/19/1998,1726,2.3,-3.49,0,0.08
1998,L,5/5/1998,10/10/1998,1637,1.19,-6.46,NaN,0
1998,G,5/6/1998,10/19/1998,1673,1.57,-6.07,0,0.03
1998,C,5/6/1998,10/19/1998,1977,3.21,-0.97,0,0.21
1998,B,5/6/1998,10/19/1998,2035,3.36,-0.77,0,0.25
1999,P1,5/27/1999,10/15/1999,1835,3.67,0.9,0,NaN
1999,E,5/27/1999,10/15/1999,1728,2.59,-2.91,0,NaN
1999,L,5/27/1999,10/15/1999,1652,2.43,-2.39,0,NaN
1999,G,5/27/1999,10/15/1999,1679,2.86,-3.26,0,NaN
1999,C,5/27/1999,10/15/1999,1957,NaN,1.68,0,NaN
2000,P1,5/7/2000,10/5/2000,1856,3,0.18,NaN,0
2000,E,5/7/2000,10/5/2000,1771,2.7,-0.74,NaN,0
2000,A,5/7/2000,10/5/2000,2079,NaN,NaN,NaN,NaN
2000,B,5/7/2000,10/5/2000,2042,NaN,NaN,NaN,NaN
2000,C,5/7/2000,10/5/2000,1974,NaN,NaN,NaN,NaN
2001,A,5/10/2001,10/28/2001,2079,1.81,NaN,NaN,NaN
2001,B,5/10/2001,10/28/2001,2042,1.95,NaN,NaN,NaN
2001,C,5/10/2001,10/28/2001,1974,1.95,NaN,NaN,NaN
2001,P1,5/10/2001,10/28/2001,1856,1.93,-1.17,0,0.25
2001,E,5/10/2001,10/28/2001,1771,1.87,-2.04,0,0.25
2002,B,5/1/2002,10/26/2002,2033,4.72,1.99,0,0.04
2002,P1,5/1/2002,10/26/2002,1847,3.98,0.73,NaN,0
2002,M,5/1/2002,10/26/2002,1807,2.75,-1.67,NaN,0
2002,F,5/1/2002,10/26/2002,1715,2.45,-2.21,NaN,0
2002,H,5/1/2002,10/26/2002,1651,0.87,-5.46,NaN,0
2003,P1,5/7/2003,10/24/2003,1845,2.45,-2.51,0,0.14
2003,B,5/8/2003,10/24/2003,2033,3.07,-0.45,0,0.23
2003,M,5/9/2003,7/8/2003,1805,2.08,0.65,NaN,0
2003,E,5/9/2003,10/22/2003,1748,1.85,-4.73,NaN,0
2003,F,5/9/2003,10/24/2003,1708,1.64,-5.08,0,0.15
2003,G,5/9/2003,10/24/2003,1671,1.23,-6.72,0,0.03
2003,H,5/9/2003,10/24/2003,1645,0.42,-8.37,0,0.03
2003,C,7/25/2003,10/24/2003,1979,1.2,-0.84,0,0.2
2003,A,7/25/2003,10/24/2003,2078,1.31,-1.26,0,0.09
2004,B,4/24/2004,10/27/2004,2030,2.16,-0.44,0,0.43
2004,P1,4/25/2004,10/27/2004,1843,1.94,-1.81,0,0.22
2004,E,4/25/2004,10/15/2004,1760,1.64,-4.11,NaN,0
2004,F,4/25/2004,7/22/2004,1705,1.44,-0.86,NaN,0
2004,H,4/25/2004,7/22/2004,1637,0.34,-3.88,NaN,0
2004,G,4/26/2004,10/27/2004,1660,0.04,-8.23,NaN,0
2004,C,7/21/2004,10/27/2004,1980,1.11,-0.58,0,0.36
2004,A,7/21/2004,10/27/2004,2071,1.07,-0.5,0,0.32
2005,A,4/20/2005,10/22/2005,2070,2.18,-1.98,NaN,0
2005,B,4/20/2005,10/22/2005,2030,2.58,-0.65,0,0.06
2005,C,4/20/2005,10/22/2005,1948,1.97,-2.62,NaN,0
2005,P1,4/20/2005,10/22/2005,1839,1.91,-2.91,NaN,0
2005,E,4/21/2005,10/19/2005,1743,1.32,-5.02,NaN,0
2006,A,4/24/2006,10/20/2006,2067,2.55,-0.92,NaN,0.05
2006,B,4/23/2006,10/20/2006,2029,2.76,0.08,NaN,0.13
2006,C,4/24/2006,10/20/2006,1946,2.48,-1.4,NaN,0.08
2006,P1,4/26/2006,10/20/2006,1838,2.6,-1.79,NaN,0
2006,E,4/25/2006,9/24/2006,1737,2.15,-3.03,NaN,0
2006,F,4/25/2006,10/20/2006,1675,1.02,-6.13,NaN,0
2007,B,5/11/2007,10/14/2007,2027,3.89,1.25,0,0.45
2007,A,5/12/2007,10/14/2007,2067,3.4,0.6,0,0.4
2007,C,5/15/2007,8/22/2007,1946,3.4,0.76,NaN,0
2007,P1,5/15/2007,10/14/2007,1837,3.16,-0.26,0,0.29
2007,E,5/15/2007,5/15/2007,1735,2.69,-1.15,NaN,0
2007,F,5/15/2007,10/14/2007,1669,1.5,-4.68,NaN,0
2008,A,5/10/2008,10/22/2008,2067,3.05,0.11,0,0.29
2008,B,5/10/2008,10/22/2008,2028,3.72,1.27,0,0.29
2008,C,5/10/2008,10/22/2008,1947,3.27,0.29,0,0.28
2008,P1,5/13/2008,10/22/2008,1838,3.13,-0.16,0,0.23
2008,E,5/13/2008,9/10/2008,1733,2.63,-1.68,NaN,0
2008,F,5/13/2008,10/22/2008,1664,1.1,-5.62,0,0.05
2009,A,5/22/2009,10/20/2009,2071,2.66,-1.47,0,0.09
2009,B,5/22/2009,10/20/2009,2032,3.19,-0.06,0,0.15
2009,C,5/22/2009,10/20/2009,1949,2.66,-1.54,0,0.03
2009,P1,5/23/2009,10/20/2009,1849,2.38,-2.46,NaN,0
2009,E,5/24/2009,10/20/2009,1738,1.86,-4.28,NaN,0
2009,F,5/24/2009,10/20/2009,1653,1.32,-6.24,NaN,0
2010,A,5/13/2010,11/4/2010,2060,2.72,0.3,0,0.36
2010,B,5/13/2010,11/4/2010,2049,3.07,1.01,0,0.43
2010,C,5/13/2010,11/4/2010,1941,2.64,-0.13,0,0.24
2010,P1,5/14/2010,11/4/2010,1835,2.32,-1.24,0,0.22
2010,E,5/14/2010,9/14/2010,1735,2.11,-2.06,NaN,0
2010,F,5/14/2010,11/4/2010,1665,0.91,-5.72,Nan,0
2011,A,6/4/2011,10/18/2011,2072,3.69,1.6,0,0.27
2011,B,6/4/2011,10/18/2011,2034,3.84,2.45,0,0.36
2011,C,6/4/2011,10/18/2011,1951,3.44,1.46,0,0.31
2011,P1,6/4/2011,10/18/2011,1840,3.54,1.23,0,0.37
2011,E,6/5/2011,9/29/2011,1733,2.33,-1.69,NaN,0
2011,F,6/6/2011,9/14/2011,1671,1.22,-2.97,NaN,0
2012,A,5/7/2012,10/12/2012,2074,3.69,0.64,NaN,0
2012,B,5/7/2012,10/12/2012,2038,4.14,1.37,NaN,0
2012,C,5/7/2012,10/12/2012,1953,3.5,0.39,NaN,0
2012,P1,5/8/2012,10/12/2012,1850,3.29,0.06,NaN,0
2012,E,5/8/2012,9/19/2012,1745,2.71,-2.11,NaN,0
2012,F,5/8/2012,9/19/2012,1677,1.57,-6.41,NaN,0
2013,A,5/2/2013,10/21/2013,2074,3.55,-0.43,NaN,0
2013,B,5/2/2013,10/21/2013,2036,4,1.78,NaN,0
2013,C,5/3/2013,10/22/2013,1951,3,-0.72,NaN,0
2013,P1,5/4/2013,10/21/2013,1841,2.9,-1.43,NaN,0
2013,E,5/4/2013,7/23/2013,1728,2.34,-0.31,NaN,0
2013,F,5/5/2013,7/23/2013,1671,1.82,-3.15,NaN,0
2014,A,5/14/2014,10/8/2014,2072,3.57,NaN,NaN,0
2014,B,5/14/2014,10/8/2014,2029,4.17,0.78,NaN,0
2014,C,5/14/2014,10/8/2014,1949,3.92,0.32,NaN,0
2014,P1,5/14/2014,10/8/2014,1835,3.13,-0.8,NaN,0
2014,E,5/14/2014,10/8/2014,1729,2.53,-3.2,NaN,0
2014,F,5/14/2014,10/8/2014,1663,1.7,-6.32,NaN,0
2015,A,5/29/2015,9/30/2015,2067,2.35,-2.42,NaN,0
2015,B,5/29/2015,9/30/2015,2025,3.87,0,NaN,0
2015,C,5/29/2015,8/19/2015,1954,1.98,-2.62,NaN,0
2015,P1,5/29/2015,9/30/2015,1826,1.71,-3.62,NaN,0
2015,E,5/30/2015,9/30/2015,1735,0.5,-7.2,NaN,0
2016,A,4/27/2016,10/11/2016,2066,3.35,-0.32,NaN,0.08
2016,B,4/27/2016,10/11/2016,2024,3.7,1.92,NaN,0.09
2016,C,4/27/2016,10/11/2016,1954,2.86,-0.76,NaN,0.05
2016,P1,4/28/2016,10/11/2016,1826,2.41,-1.57,NaN,0.01
2016,E,4/28/2016,10/11/2016,1735,3.27,-4.27,NaN,0.05
2017,A,4/23/2017,10/4/2017,2066,3.76,-0.07,0,0.09
2017,B,4/23/2017,10/4/2017,2024,5.07,1.6,0,0.08
2017,C,4/23/2017,10/4/2017,1954,3.76,-0.49,0,0.08
2017,P1,4/24/2017,10/3/2017,1826,3.52,-1.02,0,0.05
2017,E,4/25/2017,10/5/2017,1735,2.92,-4.28,0,0.03
2018,A,4/20/2018,9/28/2018,2066,3.81,-0.49,NaN,0
2018,B,4/23/2018,9/28/2018,2024,4.01,0.64,NaN,0
2018,C,4/24/2018,9/27/2018,1954,4.07,-0.34,NaN,0
2018,P1,4/25/2018,9/27/2018,1826,3.59,-1.05,NaN,0
2018,E,4/25/2018,9/27/2018,1735,3.05,-4.25,NaN,0
2019,A,6/1/2019,10/12/2019,2046,1.99,-2.02,0,0.22
2019,B,5/31/2019,10/12/2019,2008,2.63,-0.66,0,0.22
2019,C,6/1/2019,10/12/2019,1922,1.74,-2.21,0,0.14
2019,P1,6/2/2019,10/10/2019,1808,1.6,-2.45,0,0.14
2019,E,6/2/2019,10/10/2019,1689,0.88,-5.05,0,0.14
2020,A,NaN,10/6/2020,2046,NaN,0,0,0
2020,B,NaN,10/6/2020,2008,NaN,1.6,0,0
2020,C,NaN,10/6/2020,1922,NaN,0,0,0
2020,P1,NaN,10/6/2020,1808,NaN,-0.65,0,0
2020,E,NaN,10/6/2020,1689,NaN,-3.71,0,0
2021,A,4/29/2021,10/4/2021,2046,3.1,-1.05,NaN,0.04
2021,B,4/29/2021,10/4/2021,2008,3.42,0.11,NaN,NaN
2021,C,4/29/2021,10/4/2021,1922,3.21,-1.36,NaN,0.02
2021,P1,4/29/2021,10/4/2021,1808,3.28,-1.86,NaN,0.00
2021,E,5/1/2021,10/4/2021,1689,2.7,-4.88,NaN,0.00
