NaN,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250
1946,1.756,4.4917,6.6271,9.3378,6.4159,7.1453,10.149,12.079,20.079,30.702,50.41,62.561,76.477,104.23,99.39,97.891,34.078,25.679,28.153,11.537,2.0333,0.26504,0.0064255
1947,1.837,4.5801,6.6393,9.3448,6.4783,7.1415,10.133,12.102,20.064,30.558,50.286,62.404,76.662,104.31,99.792,97.991,34.021,25.762,28.092,11.43,2.01,0.26039,0.0063065
1948,1.9181,4.6685,6.6516,9.3519,6.5407,7.1378,10.117,12.124,20.048,30.415,50.163,62.248,76.848,104.39,100.19,98.091,33.964,25.845,28.031,11.323,1.9867,0.25575,0.0061875
1949,1.9992,4.7568,6.6638,9.3589,6.6031,7.134,10.101,12.147,20.033,30.272,50.04,62.091,77.034,104.48,100.6,98.191,33.907,25.928,27.971,11.215,1.9634,0.25111,0.0060685
1950,2.0803,4.8452,6.676,9.3659,6.6655,7.1303,10.085,12.17,20.018,30.128,49.916,61.935,77.219,104.56,101,98.291,33.85,26.012,27.91,11.108,1.9401,0.24646,0.0059495
1951,2.1614,4.9335,6.6883,9.373,6.7279,7.1266,10.069,12.193,20.003,29.985,49.793,61.778,77.405,104.64,101.4,98.391,33.793,26.095,27.85,11.001,1.9168,0.24182,0.0058305
1952,2.2425,5.0219,6.7005,9.38,6.7903,7.1228,10.053,12.215,19.988,29.842,49.67,61.621,77.591,104.72,101.8,98.491,33.736,26.178,27.789,10.893,1.8935,0.23718,0.0057115
1953,2.3235,5.1103,6.7128,9.387,6.8528,7.1191,10.037,12.238,19.973,29.698,49.547,61.465,77.776,104.8,102.21,98.591,33.679,26.261,27.728,10.786,1.8703,0.23254,0.0055925
1954,2.4046,5.1986,6.725,9.3941,6.9152,7.1154,10.021,12.261,19.958,29.555,49.423,61.308,77.962,104.89,102.61,98.691,33.622,26.345,27.668,10.679,1.847,0.22789,0.0054735
1955,2.4857,5.287,6.7373,9.4011,6.9776,7.1116,10.005,12.284,19.943,29.412,49.3,61.152,78.147,104.97,103.01,98.791,33.565,26.428,27.607,10.571,1.8237,0.22325,0.0053546
1956,2.5668,5.3754,6.7495,9.4082,7.04,7.1079,9.9887,12.306,19.928,29.268,49.177,60.995,78.333,105.05,103.41,98.891,33.507,26.511,27.547,10.464,1.8004,0.21861,0.0052356
1957,2.6479,5.4637,6.7617,9.4152,7.1024,7.1041,9.9727,12.329,19.913,29.125,49.053,60.839,78.519,105.13,103.81,98.991,33.45,26.594,27.486,10.357,1.7771,0.21396,0.0051166
1958,2.729,5.5521,6.774,9.4222,7.1648,7.1004,9.9566,12.352,19.898,28.981,48.93,60.682,78.704,105.21,104.22,99.091,33.393,26.678,27.426,10.249,1.7538,0.20932,0.0049976
1959,2.81,5.6404,6.7862,9.4293,7.2272,7.0967,9.9406,12.374,19.883,28.838,48.807,60.525,78.89,105.3,104.62,99.191,33.336,26.761,27.365,10.142,1.7305,0.20468,0.0048786
1960,2.8911,5.7288,6.7985,9.4363,7.2897,7.0929,9.9245,12.397,19.867,28.695,48.684,60.369,79.076,105.38,105.02,99.291,33.279,26.844,27.304,10.035,1.7072,0.20004,0.0047596
1961,2.9722,5.8172,6.8107,9.4433,7.3521,7.0892,9.9085,12.42,19.852,28.551,48.56,60.212,79.261,105.46,105.42,99.391,33.222,26.927,27.244,9.9276,1.6839,0.19539,0.0046406
1962,3.0533,5.9055,6.823,9.4504,7.4145,7.0854,9.8924,12.443,19.837,28.408,48.437,60.056,79.447,105.54,105.82,99.49,33.165,27.011,27.183,9.8203,1.6607,0.19075,0.0045216
1963,3.1344,5.9939,6.8352,9.4574,7.4769,7.0817,9.8764,12.465,19.822,28.265,48.314,59.899,79.633,105.62,106.23,99.59,33.108,27.094,27.123,9.7129,1.6374,0.18611,0.0044026
1964,3.2154,6.0823,6.8475,9.4644,7.5393,7.078,9.8604,12.488,19.807,28.121,48.19,59.743,79.818,105.71,106.63,99.69,33.051,27.177,27.062,9.6056,1.6141,0.18147,0.0042836
1965,3.2965,6.1706,6.8597,9.4715,7.6017,7.0742,9.8443,12.511,19.792,27.978,48.067,59.586,80.004,105.79,107.03,99.79,32.994,27.26,27.001,9.4983,1.5908,0.17682,0.0041647
1966,3.3776,6.259,6.8719,9.4785,7.6641,7.0705,9.8283,12.534,19.777,27.834,47.944,59.429,80.189,105.87,107.43,99.89,32.937,27.344,26.941,9.391,1.5675,0.17218,0.0040457
1967,3.4587,6.3473,6.8842,9.4855,7.7266,7.0668,9.8122,12.556,19.762,27.691,47.821,59.273,80.375,105.95,107.83,99.99,32.88,27.427,26.88,9.2837,1.5442,0.16754,0.0039267
1968,3.5398,6.4357,6.8964,9.4926,7.789,7.063,9.7962,12.579,19.747,27.548,47.697,59.116,80.561,106.03,108.24,100.09,32.823,27.51,26.82,9.1764,1.5209,0.16289,0.0038077
1969,3.6209,6.5241,6.9087,9.4996,7.8514,7.0593,9.7801,12.602,19.732,27.404,47.574,58.96,80.746,106.12,108.64,100.19,32.766,27.593,26.759,9.0691,1.4976,0.15825,0.0036887
1970,3.7019,6.6124,6.9209,9.5066,7.9138,7.0555,9.7641,12.625,19.717,27.261,47.451,58.803,80.932,106.2,109.04,100.29,32.709,27.677,26.699,8.9618,1.4744,0.15361,0.0035697
1971,3.783,6.7008,6.9332,9.5137,7.9762,7.0518,9.748,12.647,19.701,27.118,47.327,58.647,81.118,106.28,109.44,100.39,32.652,27.76,26.638,8.8545,1.4511,0.14897,0.0034507
1972,3.8641,6.7892,6.9454,9.5207,8.0386,7.0481,9.732,12.67,19.686,26.974,47.204,58.49,81.303,106.36,109.85,100.49,32.595,27.843,26.577,8.7472,1.4278,0.14432,0.0033317
1973,3.9452,6.8775,6.9577,9.5277,8.101,7.0443,9.716,12.693,19.671,26.831,47.081,58.334,81.489,106.45,110.25,100.59,32.538,27.926,26.517,8.6399,1.4045,0.13968,0.0032127
1974,4.0263,6.9659,6.9699,9.5348,8.1635,7.0406,9.6999,12.715,19.656,26.687,46.958,58.177,81.674,106.53,110.65,100.69,32.481,28.01,26.456,8.5325,1.3812,0.13504,0.0030937
1975,4.1074,7.0542,6.9821,9.5418,8.2259,7.0368,9.6839,12.738,19.641,26.544,46.834,58.02,81.86,106.61,111.05,100.79,32.424,28.093,26.396,8.4252,1.3579,0.1304,0.0029748
1976,4.1884,7.1426,6.9944,9.5488,8.2883,7.0331,9.6678,12.761,19.626,26.401,46.711,57.864,82.046,106.69,111.45,100.89,32.367,28.176,26.335,8.3179,1.3346,0.12575,0.0028558
1977,4.2695,7.231,7.0066,9.5559,8.3507,7.0294,9.6518,12.784,19.611,26.257,46.588,57.707,82.231,106.77,111.86,100.99,32.31,28.259,26.274,8.2106,1.3113,0.12111,0.0027368
1978,4.3506,7.3193,7.0189,9.5629,8.4131,7.0256,9.6357,12.806,19.596,26.114,46.464,57.551,82.417,106.86,112.26,101.09,32.253,28.343,26.214,8.1033,1.288,0.11647,0.0026178
1979,4.4317,7.4077,7.0311,9.5699,8.4755,7.0219,9.6197,12.829,19.581,25.971,46.341,57.394,82.603,106.94,112.66,101.19,32.196,28.426,26.153,7.996,1.2648,0.11182,0.0024988
1980,4.5128,7.4961,7.0434,9.577,8.5379,7.0182,9.6036,12.852,19.566,25.827,46.218,57.238,82.788,107.02,113.06,101.29,32.139,28.509,26.093,7.8887,1.2415,0.10718,0.0023798
1981,4.5939,7.5844,7.0556,9.584,8.6004,7.0144,9.5876,12.875,19.551,25.684,46.095,57.081,82.974,107.1,113.46,101.39,32.082,28.593,26.032,7.7814,1.2182,0.10254,0.0022608
1982,4.6749,7.6728,7.0679,9.591,8.6628,7.0107,9.5716,12.897,19.536,25.54,45.971,56.924,83.159,107.18,113.87,101.49,32.025,28.676,25.972,7.6741,1.1949,0.097896,0.0021418
1983,4.756,7.7611,7.0801,9.5981,8.7252,7.0069,9.5555,12.92,19.52,25.397,45.848,56.768,83.345,107.27,114.27,101.59,31.968,28.759,25.911,7.5668,1.1716,0.093253,0.0020228
1984,4.8371,7.8495,7.0923,9.6051,8.7876,7.0032,9.5395,12.943,19.505,25.254,45.725,56.611,83.531,107.35,114.67,101.69,31.911,28.842,25.85,7.4594,1.1483,0.088611,0.0019038
1985,4.9182,7.9379,7.1046,9.6122,8.85,6.9995,9.5234,12.966,19.49,25.11,45.601,56.455,83.716,107.43,115.07,101.79,31.854,28.926,25.79,7.3521,1.125,0.083968,0.0017849
1986,4.9993,8.0262,7.1168,9.6192,8.9124,6.9957,9.5074,12.988,19.475,24.967,45.478,56.298,83.902,107.51,115.48,101.89,31.797,29.009,25.729,7.2448,1.1017,0.079325,0.0016659
1987,5.0804,8.1146,7.1291,9.6262,8.9748,6.992,9.4913,13.011,19.46,24.824,45.355,56.142,84.088,107.59,115.88,101.99,31.74,29.092,25.669,7.1375,1.0784,0.074683,0.0015469
1988,5.1614,8.203,7.1413,9.6333,9.0373,6.9882,9.4753,13.034,19.445,24.68,45.231,55.985,84.273,107.68,116.28,102.09,31.683,29.175,25.608,7.0302,1.0552,0.07004,0.0014279
1989,5.2425,8.2913,7.1536,9.6403,9.0997,6.9845,9.4592,13.056,19.43,24.537,45.108,55.828,84.459,107.76,116.68,102.19,31.626,29.259,25.547,6.9229,1.0319,0.065397,0.0013089
1990,5.3236,8.3797,7.1658,9.6473,9.1621,6.9808,9.4432,13.079,19.415,24.393,44.985,55.672,84.644,107.84,117.08,102.29,31.569,29.342,25.487,6.8156,1.0086,0.060754,0.0011899
1991,5.4047,8.468,7.1781,9.6544,9.2245,6.977,9.4272,13.102,19.4,24.25,44.862,55.515,84.83,107.92,117.49,102.39,31.512,29.425,25.426,6.7083,0.98529,0.056112,0.0010709
1992,5.4858,8.5564,7.1903,9.6614,9.2869,6.9733,9.4111,13.125,19.385,24.107,44.738,55.359,85.016,108,117.89,102.49,31.455,29.508,25.366,6.601,0.962,0.051469,0.00095192
1993,5.5669,8.6448,7.2025,9.6684,9.3493,6.9696,9.3951,13.147,19.37,23.963,44.615,55.202,85.201,108.09,118.29,102.59,31.398,29.592,25.305,6.4937,0.93871,0.046826,0.00083293
1994,5.6479,8.7331,7.2148,9.6755,9.4117,6.9658,9.379,13.17,19.354,23.82,44.492,55.046,85.387,108.17,118.69,102.69,31.341,29.675,25.245,6.3864,0.91543,0.042183,0.00071394
1995,5.729,8.8215,7.227,9.6825,9.4742,6.9621,9.363,13.193,19.339,23.677,44.368,54.889,85.573,108.25,119.09,102.79,31.284,29.758,25.184,6.279,0.89214,0.037541,0.00059495
1996,5.8101,8.9099,7.2393,9.6895,9.5366,6.9583,9.3469,13.216,19.324,23.533,44.245,54.732,85.758,108.33,119.5,102.89,31.227,29.841,25.123,6.1717,0.86885,0.032898,0.00047596
1997,5.8912,8.9982,7.2515,9.6966,9.599,6.9546,9.3309,13.238,19.309,23.39,44.122,54.576,85.944,108.41,119.9,102.99,31.17,29.925,25.063,6.0644,0.84556,0.028255,0.00035697
1998,5.9723,9.0866,7.2638,9.7036,9.6614,6.9509,9.3148,13.261,19.294,23.246,43.999,54.419,86.129,108.5,120.3,103.09,31.113,30.008,25.002,5.9571,0.82227,0.023612,0.00023798
1999,6.0534,9.1749,7.276,9.7106,9.7238,6.9471,9.2988,13.284,19.279,23.103,43.875,54.263,86.315,108.58,120.7,103.19,31.056,30.091,24.942,5.8498,0.79898,0.01897,0.00011899
2000,6.1344,9.2633,7.2883,9.7177,9.7862,6.9434,9.2828,13.307,19.264,22.96,43.752,54.106,86.501,108.66,121.11,103.29,30.999,30.174,24.881,5.7425,0.77569,0.014327,0
2001,6.1032,9.3529,7.3226,9.7397,9.7774,6.9408,9.2878,13.313,19.268,22.933,43.807,54.115,86.491,108.58,121.08,103.3,31.024,30.193,24.863,5.6764,0.78089,0.029281,0.010154
2002,6.072,9.4425,7.357,9.7618,9.7685,6.9381,9.2928,13.32,19.272,22.906,43.862,54.124,86.482,108.49,121.06,103.31,31.049,30.213,24.845,5.6103,0.78608,0.044234,0.020308
2003,6.0408,9.5321,7.3913,9.7839,9.7596,6.9355,9.2978,13.326,19.276,22.879,43.917,54.133,86.473,108.4,121.04,103.33,31.075,30.232,24.827,5.5442,0.79127,0.059188,0.030462
2004,6.0096,9.6217,7.4257,9.806,9.7507,6.9329,9.3028,13.332,19.279,22.853,43.972,54.141,86.464,108.32,121.02,103.34,31.1,30.251,24.809,5.4781,0.79647,0.074142,0.040615
2005,5.9783,9.7113,7.46,9.828,9.7418,6.9302,9.3078,13.339,19.283,22.826,44.027,54.15,86.455,108.23,121,103.35,31.125,30.27,24.791,5.412,0.80166,0.089095,0.050769
2006,5.9471,9.8009,7.4944,9.8501,9.7329,6.9276,9.3129,13.345,19.287,22.799,44.081,54.159,86.445,108.15,120.98,103.37,31.151,30.289,24.773,5.346,0.80685,0.10405,0.060923
2007,5.9159,9.8905,7.5287,9.8722,9.7241,6.925,9.3179,13.352,19.291,22.772,44.136,54.168,86.436,108.06,120.95,103.38,31.176,30.309,24.755,5.2799,0.81204,0.119,0.071077
2008,5.8847,9.9801,7.5631,9.8942,9.7152,6.9223,9.3229,13.358,19.295,22.745,44.191,54.177,86.427,107.98,120.93,103.39,31.201,30.328,24.737,5.2138,0.81724,0.13396,0.081231
2009,5.8535,10.07,7.5975,9.9163,9.7063,6.9197,9.3279,13.365,19.299,22.719,44.246,54.185,86.418,107.89,120.91,103.41,31.227,30.347,24.719,5.1477,0.82243,0.14891,0.091385
2010,5.8223,10.159,7.6318,9.9384,9.6974,6.9171,9.3329,13.371,19.303,22.692,44.301,54.194,86.408,107.81,120.89,103.42,31.252,30.366,24.702,5.0816,0.82762,0.16386,0.10154
2011,5.791,10.249,7.6662,9.9605,9.6885,6.9144,9.3379,13.378,19.307,22.665,44.356,54.203,86.399,107.72,120.87,103.43,31.277,30.385,24.684,5.0155,0.83281,0.17882,0.11169
2012,5.7598,10.339,7.7005,9.9825,9.6796,6.9118,9.343,13.384,19.31,22.638,44.411,54.212,86.39,107.64,120.85,103.44,31.303,30.404,24.666,4.9494,0.83801,0.19377,0.12185
2013,5.7286,10.428,7.7349,10.005,9.6707,6.9091,9.348,13.391,19.314,22.611,44.466,54.221,86.381,107.55,120.83,103.46,31.328,30.424,24.648,4.8833,0.8432,0.20872,0.132
2014,5.6974,10.518,7.7692,10.027,9.6619,6.9065,9.353,13.397,19.318,22.585,44.521,54.23,86.372,107.47,120.8,103.47,31.353,30.443,24.63,4.8172,0.84839,0.22368,0.14215
2015,5.6662,10.607,7.8036,10.049,9.653,6.9039,9.358,13.404,19.322,22.558,44.575,54.238,86.362,107.38,120.78,103.48,31.379,30.462,24.612,4.7511,0.85359,0.23863,0.15231
2016,5.6349,10.697,7.8379,10.071,9.6441,6.9012,9.363,13.41,19.326,22.531,44.63,54.247,86.353,107.3,120.76,103.5,31.404,30.481,24.594,4.6851,0.85878,0.25359,0.16246
2017,5.6037,10.787,7.8723,10.093,9.6352,6.8986,9.368,13.417,19.33,22.504,44.685,54.256,86.344,107.21,120.74,103.51,31.429,30.5,24.576,4.619,0.86397,0.26854,0.17262
2018,5.5725,10.876,7.9067,10.115,9.6263,6.896,9.3731,13.423,19.334,22.478,44.74,54.265,86.335,107.13,120.72,103.52,31.454,30.519,24.558,4.5529,0.86916,0.28349,0.18277
2019,5.5413,10.966,7.941,10.137,9.6174,6.8933,9.3781,13.43,19.338,22.451,44.795,54.274,86.325,107.04,120.7,103.54,31.48,30.539,24.54,4.4868,0.87436,0.29845,0.19292
2020,5.5101,11.055,7.9754,10.159,9.6086,6.8907,9.3831,13.436,19.342,22.424,44.85,54.282,86.316,106.95,120.68,103.55,31.505,30.558,24.522,4.4207,0.87955,0.3134,0.20308
