Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
1966,A,617,0.52,-5.05,-4.53,08-May-1966,17-Sep-1966,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1966,B,1084,1.02,-1.82,-0.8,08-May-1966,17-Sep-1966,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1966,C,1307,2.08,-1.47,0.61,08-May-1966,17-Sep-1966,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1967,A,616,0.49,-4.93,-4.44,07-Apr-1967,05-Sep-1967,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1967,B,1083,0.68,-3.36,-2.68,07-Apr-1967,05-Sep-1967,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1967,C,1307,1.95,-2.09,-0.13,07-Apr-1967,05-Sep-1967,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1968,A,615,-0.33,-5.34,-5.67,10-May-1968,25-Sep-1968,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1968,B,1083,1.57,-3.43,-1.86,10-May-1968,25-Sep-1968,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1968,C,1307,2.51,-2.06,0.45,10-May-1968,25-Sep-1968,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1969,A,615,0.24,-2.17,-1.93,22-May-1969,26-Sep-1969,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1969,B,1083,2.2,-2.89,-0.69,22-May-1969,26-Sep-1969,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1969,C,1307,2.82,-1.64,1.18,22-May-1969,26-Sep-1969,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1970,A,614,0.67,-3.92,-3.24,08-May-1970,18-Sep-1970,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1970,B,1083,2.78,-1.89,0.89,08-May-1970,18-Sep-1970,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1970,C,1307,4.21,-1.13,3.08,08-May-1970,18-Sep-1970,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1971,A,613,0.59,-3.63,-3.04,02-Jun-1971,30-Sep-1971,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1971,B,1082,2.61,-2.8,-0.19,02-Jun-1971,30-Sep-1971,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1971,C,1307,3.54,-2.15,1.39,02-Jun-1971,30-Sep-1971,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1972,A,612,-0.19,-4.06,-4.25,27-May-1972,25-Sep-1972,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1972,B,1082,1.19,-2.53,-1.34,27-May-1972,25-Sep-1972,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1972,C,1307,1.51,-1.51,0,27-May-1972,25-Sep-1972,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1973,A,612,0.5,-3.57,-3.07,06-Jun-1973,05-Sep-1973,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1973,B,1082,1.42,-1.29,0.13,06-Jun-1973,05-Sep-1973,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1973,C,1306,3.01,-1.48,1.53,06-Jun-1973,05-Sep-1973,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1974,A,611,0.12,-5.99,-5.87,14-May-1974,30-Sep-1974,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1974,B,1082,1.55,-3.55,-2,14-May-1974,30-Sep-1974,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1974,C,1306,2.05,-2.03,0.01,14-May-1974,30-Sep-1974,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1975,A,610,0.72,-4.56,-3.84,21-May-1975,27-Sep-1975,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1975,B,1081,2.02,-2.64,-0.62,21-May-1975,27-Sep-1975,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1975,C,1306,2.71,-1.71,1,21-May-1975,27-Sep-1975,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1976,A,609,0.2,-4.73,-4.53,21-May-1976,06-Sep-1976,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1976,B,1081,1.48,-2.93,-1.45,21-May-1976,06-Sep-1976,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1976,C,1306,1.9,-1.56,0.35,21-May-1976,06-Sep-1976,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1977,A,609,1.56,-5.25,-3.69,20-May-1977,27-Sep-1977,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1977,B,1081,3.24,-3.16,0.08,20-May-1977,27-Sep-1977,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1977,C,1306,4.19,-0.77,3.42,20-May-1977,27-Sep-1977,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1978,A,608,0.88,-4.74,-3.86,09-May-1978,29-Sep-1978,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1978,B,1081,1.95,-2.37,-0.42,09-May-1978,29-Sep-1978,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1978,C,1306,3.15,-1.08,2.07,09-May-1978,29-Sep-1978,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1979,A,607,0.09,-5.3,-5.21,23-May-1979,23-Sep-1979,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1979,B,1080,1.37,-3.71,-2.35,23-May-1979,23-Sep-1979,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1979,C,1306,2.4,-2.55,-0.16,23-May-1979,23-Sep-1979,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1980,A,607,0.8,-3.24,-2.45,29-May-1980,01-Oct-1980,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1980,B,1080,2.98,-2.19,0.8,29-May-1980,01-Oct-1980,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1980,C,1306,5.95,-2.02,3.93,29-May-1980,01-Oct-1980,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1981,A,606,1.78,-4.1,-2.33,20-Apr-1981,11-Sep-1981,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1981,B,1080,3.28,-2.24,1.04,20-Apr-1981,11-Sep-1981,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1981,C,1305,8.13,-2.49,5.64,20-Apr-1981,11-Sep-1981,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1982,A,605,-0.41,-4.93,-5.34,12-May-1982,28-Sep-1982,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1982,B,1080,1.32,-2.46,-1.14,12-May-1982,28-Sep-1982,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1982,C,1305,3.13,-1.72,1.41,12-May-1982,28-Sep-1982,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1983,A,604,1.28,-5.23,-3.95,22-Apr-1983,23-Sep-1983,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1983,B,1079,2,-2.87,-0.87,22-Apr-1983,23-Sep-1983,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1983,C,1305,2.77,-1.73,1.03,22-Apr-1983,23-Sep-1983,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1984,A,604,0.84,-5.98,-5.14,05-May-1984,29-Sep-1984,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1984,B,1079,1.78,-2.96,-1.18,05-May-1984,29-Sep-1984,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1984,C,1305,2.45,-1.12,1.33,05-May-1984,29-Sep-1984,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1985,A,603,0.91,-4.05,-3.15,18-May-1985,17-Sep-1985,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1985,B,1079,1.69,-1.81,-0.12,18-May-1985,17-Sep-1985,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1985,C,1305,2.89,-1.13,1.76,18-May-1985,17-Sep-1985,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1986,A,602,0.53,-4.95,-4.42,16-May-1986,03-Oct-1986,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1986,B,1079,1.72,-2.26,-0.55,16-May-1986,03-Oct-1986,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1986,C,1305,3.32,-2.19,1.14,16-May-1986,03-Oct-1986,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1987,A,602,1.12,-4.47,-3.35,30-Apr-1987,11-Sep-1987,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1987,B,1079,2.6,-2.13,0.46,30-Apr-1987,11-Sep-1987,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1987,C,1305,4.35,-1.23,3.12,30-Apr-1987,11-Sep-1987,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1988,A,601,1.32,-4.27,-2.95,28-Apr-1988,14-Sep-1988,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1988,B,1078,3.11,-2.64,0.47,28-Apr-1988,14-Sep-1988,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1988,C,1304,3.6,-1,2.6,28-Apr-1988,14-Sep-1988,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1989,A,600,-0.87,-6.37,-7.24,17-Apr-1989,29-Sep-1989,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1989,B,1078,1.12,-3.51,-2.39,17-Apr-1989,29-Sep-1989,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1989,C,1304,2.33,-2.16,0.17,17-Apr-1989,29-Sep-1989,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1990,A,599,0.51,-6.29,-5.78,05-Apr-1990,21-Sep-1990,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1990,B,1078,1.38,-4.38,-2.99,05-Apr-1990,21-Sep-1990,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1990,C,1304,1.84,-2.73,-0.89,05-Apr-1990,21-Sep-1990,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1991,A,599,0.12,-3.39,-3.27,16-May-1991,23-Sep-1991,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1991,B,1078,1.19,-2.64,-1.45,16-May-1991,23-Sep-1991,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1991,C,1304,2.91,-1.88,1.03,16-May-1991,23-Sep-1991,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1992,A,598,0.4,-4.17,-3.77,08-May-1992,18-Sep-1992,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1992,B,1077,1.72,-2.95,-1.23,08-May-1992,18-Sep-1992,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1992,C,1304,2.79,-1.45,1.34,08-May-1992,18-Sep-1992,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1993,A,597,1.09,-4.53,-3.44,20-Apr-1993,19-Sep-1993,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1993,B,1077,2.17,-3.64,-1.47,20-Apr-1993,19-Sep-1993,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1993,C,1304,3.36,-2.65,0.71,20-Apr-1993,19-Sep-1993,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1994,A,597,-0.13,-5.63,-5.76,24-May-1994,16-Sep-1994,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1994,B,1077,1.52,-2.92,-1.4,24-May-1994,16-Sep-1994,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1994,C,1304,3.07,-1.72,1.35,24-May-1994,16-Sep-1994,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,A,596,0.69,-5.61,-4.92,26-Apr-1995,27-Sep-1995,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,B,1077,2.44,-3.83,-1.39,26-Apr-1995,27-Sep-1995,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,C,1303,3.24,-2.15,1.09,26-Apr-1995,27-Sep-1995,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1996,A,593,-0.02,-5.58,-5.6,27-Apr-1996,15-Sep-1996,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1996,B,1076,1.45,-3.31,-1.86,27-Apr-1996,15-Sep-1996,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1996,C,1304,1.99,-2.11,-0.12,27-Apr-1996,15-Sep-1996,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1997,A,589,0.43,-6.82,-6.4,18-May-1997,01-Oct-1997,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1997,B,1076,1.52,-4.19,-2.68,18-May-1997,01-Oct-1997,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1997,C,1305,2.72,-3.03,-0.31,18-May-1997,01-Oct-1997,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,A,586,1.67,-3.8,-2.13,20-May-1998,07-Oct-1998,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,B,1075,2.75,-2.94,-0.2,20-May-1998,07-Oct-1998,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,C,1306,3.65,-1.31,2.34,20-May-1998,07-Oct-1998,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,A,584,0.95,-6.1,-5.15,11-May-1999,17-Sep-1999,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,B,1075,1.78,-3.36,-1.58,11-May-1999,17-Sep-1999,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,C,1305,2.57,-1.82,0.75,11-May-1999,17-Sep-1999,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,A,583,1.42,-5.33,-3.91,27-Apr-2000,29-Sep-2000,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,B,1075,2.19,-2.98,-0.79,27-Apr-2000,29-Sep-2000,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,C,1304,2.81,-0.49,2.32,27-Apr-2000,29-Sep-2000,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
